US_Sales,EU_Sales,Asia_Sales,Global_Sales
41.49,29.02,3.77,82.74
29.08,3.58,6.81,40.24
15.85,12.88,3.79,35.82
15.75,11.01,3.28,33
11.27,8.89,10.22,31.37
23.2,2.26,4.22,30.26
11.38,9.23,6.5,30.01
14.03,9.2,2.93,29.02
14.59,7.06,4.7,28.62
26.93,0.63,0.28,28.31
9.07,11,1.93,24.76
9.81,7.57,4.13,23.42
9,6.18,7.2,23.1
8.94,8.03,3.6,22.72
9.09,8.59,2.53,22
14.97,4.94,0.24,21.82
7.01,9.27,0.97,21.4
9.43,0.4,0.41,20.81
12.78,3.75,3.54,20.61
4.75,9.26,4.16,20.22
6.42,4.52,6.04,18.36
10.83,2.71,4.18,18.14
9.54,3.44,3.84,17.28
9.63,5.31,0.06,16.38
8.41,5.49,0.47,16.15
6.06,3.9,5.38,15.85
5.57,3.28,5.65,15.32
3.44,5.36,5.32,15.3
9.03,4.28,0.13,14.76
5.89,5.04,3.12,14.64
9.67,3.73,0.11,14.64
5.17,4.05,4.34,14.35
5.77,5.81,0.35,14.24
4.99,5.88,0.65,14.03
8.25,4.3,0.07,13.73
8.52,3.63,0.08,13.51
5.54,5.82,0.49,13.46
6.99,4.51,0.3,13.1
6.75,2.61,2.66,13.04
5.98,4.44,0.48,12.73
2.55,3.52,5.33,12.27
4.74,3.91,2.67,12.21
7.97,2.83,0.13,12.14
3.8,5.81,0.36,11.98
4.4,2.77,3.96,11.9
6.91,2.85,1.91,11.89
6.16,3.4,1.2,11.52
4.23,3.37,3.08,11.33
6.16,2.04,2.69,11.18
6.76,3.1,0.14,11.02
4.89,2.99,2.13,10.79
4.99,3.69,0.38,10.69
4.76,3.76,0.44,10.57
5.99,2.15,2.12,10.55
4.34,2.65,3.15,10.49
5.08,3.11,1.25,10.42
6.05,3.15,0,10.26
6.72,2.63,0.04,10.21
7.03,1.98,0.08,9.88
5.55,1.94,2.23,9.87
3.66,3.07,2.47,9.82
6.63,2.36,0.04,9.76
4.09,3.73,0.38,9.59
5.84,2.89,0.01,9.52
5.91,2.38,0.13,9.32
4.36,1.71,3,9.3
5.58,2.83,0.02,9.2
2.01,2.32,4.36,9.09
4.46,1.88,1.98,9.02
3.54,1.24,3.81,8.76
1.79,3.53,2.49,8.49
6.82,1.53,0.05,8.49
3.81,2.3,1.58,8.42
2.91,1.86,3.14,8.33
5.8,2.01,0.13,8.09
2.82,1.78,2.69,7.84
2.9,2.83,0.24,7.72
3.66,2.42,0.98,7.69
2.8,3.3,0.14,7.6
4.1,1.89,1.45,7.6
5.39,1.18,0.7,7.46
3.24,1.35,2.42,7.45
4.79,1.9,0,7.37
3.83,2.19,0.6,7.31
4.52,2.09,0.01,7.3
3.51,3.03,0,7.27
4.41,1.04,1.39,7.07
3.13,2.07,1.27,6.96
4.12,1.77,0.87,6.95
4.14,2.21,0,6.91
4.15,1.92,0.06,6.76
3.1,2.3,0.28,6.72
1.67,2.78,1.6,6.67
2.79,2.61,0.17,6.6
3.25,1.84,1.03,6.59
3.74,0.93,1.69,6.51
2.64,2.56,0.16,6.5
4.98,1.3,0.08,6.43
2.57,1.58,2.06,6.41
2.55,1.56,1.29,6.39
4.34,1.35,0.06,6.36
3.7,1.97,0.09,6.34
4.01,1.26,0.87,6.31
0.07,6.21,0,6.28
3.92,1.78,0.03,6.24
4.05,1.62,0.07,6.24
3.54,1.9,0.07,6.11
2.41,2.28,0.28,5.99
0.66,0.69,4.35,5.84
2.49,2.05,0.16,5.65
2.97,0.69,1.81,5.58
2.54,1.95,0.21,5.57
2.95,0.6,1.97,5.55
3.28,1.65,0.07,5.55
2.99,1.92,0.1,5.51
3.14,1.24,0.91,5.49
2.62,1.64,0.99,5.47
3.21,1.11,0.95,5.46
3.18,1.24,0.94,5.45
2.72,1.87,0,5.43
2.18,0.96,2,5.34
3.02,1.12,1.01,5.31
3.13,1.71,0.03,5.3
3.33,0.79,1.09,5.27
3.1,1.56,0.08,5.27
1.22,2.48,1.03,5.26
2.43,2.15,0,5.2
2.93,1.25,0.83,5.2
2.32,1.3,1.27,5.19
2.49,0.98,1.57,5.19
1.9,1.83,0.95,5.17
2.1,0.74,2.2,5.15
0.96,2.02,1.89,5.15
2.71,0.61,1.7,5.13
3.59,1.11,0.05,5.13
3.21,1.53,0.01,5.13
3.22,1.69,0,5.12
2.66,2.01,0,5.08
1.7,2.02,0.16,5.08
3.4,1.3,0.15,5.07
3.42,1.38,0.02,5.02
2.59,1.06,0.8,5.02
3.06,1.18,0.29,5
3.49,0.01,0.01,4.98
1.85,1.2,1.54,4.96
2.91,0.99,0.89,4.88
2.62,0.6,1.52,4.85
2.56,1.68,0,4.83
1.91,2,0.09,4.83
3.05,1.41,0.02,4.68
1.87,1.12,1.32,4.68
2.08,2.04,0.06,4.64
3.06,1.12,0,4.62
2.42,0.91,1.15,4.61
2.6,0.99,0.89,4.6
1.78,1.39,1.1,4.58
1.55,1.15,1.44,4.57
3.19,0.92,0.01,4.53
4.21,0.24,0,4.5
2.71,1.51,0.03,4.48
1.54,1.94,0.19,4.45
2.55,1.11,0.46,4.44
2.67,1.35,0.01,4.42
2.66,1.29,0.01,4.41
2.82,1.05,0.13,4.39
2.19,0.5,1.61,4.38
2.75,1.18,0,4.31
2.51,1.27,0.11,4.31
2.64,1.2,0.03,4.26
2.11,1.11,0.72,4.25
1.41,2.02,0.1,4.24
1.7,2.27,0,4.21
2.03,1.27,0.62,4.21
2.25,1.47,0.04,4.19
2.04,0.48,1.57,4.16
1.4,1.86,0.11,4.14
1.65,0.61,1.76,4.12
2.14,1.2,0.37,4.1
2.13,1.5,0.05,4.1
2.57,1.52,0,4.09
2.35,1.28,0.03,4.06
1.12,2.12,0.1,4.03
2.78,0.58,0.64,4.03
1.38,1.87,0.12,4.02
1.22,0.28,2.46,4.01
0.92,1.78,0.92,4
1.18,1.96,0.08,3.92
1.97,0.76,1.07,3.91
2.29,1.17,0.01,3.9
1.33,1.71,0.13,3.89
0.67,0.49,2.62,3.89
2.48,0.65,0.03,3.85
0.87,1.57,1.05,3.84
2.21,0.96,0.54,3.83
2.26,0.48,0.81,3.83
1.06,1.93,0.41,3.82
1.44,1.37,0.73,3.81
2.4,1.03,0,3.78
1.98,1.47,0,3.76
1.98,0.88,0.59,3.76
1.49,0.73,1.38,3.7
0,0,3.67,3.67
2.13,1.18,0.01,3.67
1.65,1.22,0,3.66
1.87,1.13,0.55,3.65
2.33,0.97,0,3.65
2.23,0.68,0.66,3.63
1.78,1.42,0.05,3.63
1.28,1.61,0.15,3.61
2.38,0.67,0.46,3.6
1.56,1.4,0.07,3.54
1.17,0.5,1.75,3.51
2.84,0.39,0.03,3.5
1.64,0.38,1.42,3.5
0.59,1.83,0.73,3.5
2.11,1.01,0.01,3.48
2.26,0.89,0,3.46
0.88,1.75,0.1,3.45
2.39,0.73,0.03,3.44
1.13,2.07,0,3.42
1.75,1.2,0.02,3.41
1.73,0.69,0.59,3.41
1.43,0.94,0.74,3.38
1.9,0.67,0.73,3.36
0.65,1.61,0.82,3.36
1.9,1.14,0.01,3.34
0,0.99,2.32,3.33
1.15,1.17,0.76,3.32
1.99,1.05,0.05,3.31
0.8,1.92,0.06,3.28
2.13,0.92,0,3.28
1.89,1.05,0.02,3.27
1.36,1.13,0.46,3.27
1.27,1.33,0.12,3.23
0.03,0,3.18,3.22
0.73,0.1,2.35,3.2
2.26,0.72,0.12,3.2
1.18,0.87,0.93,3.18
0.58,0.51,1.93,3.17
2.06,0.56,0.38,3.17
1.92,0.16,0.99,3.15
1.89,0.99,0.03,3.15
1.7,1.25,0.02,3.13
2.31,0.62,0.14,3.12
0.91,1,1.03,3.12
1.69,0.87,0.14,3.12
1.89,0.91,0.04,3.07
1.4,0.99,0.46,3.07
1.57,0.62,0.55,3.07
1.91,0.84,0,3.05
1.38,1.35,0.02,3.04
1.54,1.33,0,3.03
1.85,1.04,0,3.02
2.03,0.47,0.45,3.02
2.38,0.32,0,3
2.6,0.21,0.01,3
1.61,0.51,0.8,2.99
0.47,1,1.39,2.98
1.57,0.04,1.19,2.96
1.98,0.58,0.34,2.94
1.83,0.8,0.03,2.93
0.87,1.06,0.73,2.92
1.75,0.45,0.62,2.91
1.51,1.12,0.01,2.89
1.3,1.27,0,2.88
1.87,0.77,0,2.86
2.09,0.63,0.03,2.86
1.37,0.51,0.89,2.85
1.29,0.53,0.98,2.85
1.4,1.14,0,2.85
1.87,0.57,0.11,2.84
1.65,0.86,0.05,2.83
1.96,0.67,0.1,2.82
1.32,1.19,0,2.81
1.47,0.07,1.1,2.8
0.3,1.47,0.68,2.79
0.46,0.29,1.96,2.79
1.43,0.54,0.71,2.75
1.07,1.31,0.06,2.74
1.02,0.36,1.13,2.73
1.33,0.31,1.04,2.73
1.52,0.94,0.02,2.72
1.49,0.93,0.02,2.71
1.75,0.52,0.33,2.7
1.25,0.53,0.87,2.7
1.63,0.52,0.35,2.69
1.48,0.92,0.01,2.67
1.78,0.64,0,2.67
1.99,0.58,0,2.66
1.15,1.11,0,2.65
1.56,0.88,0,2.65
0,0,2.65,2.65
2,0.5,0.12,2.65
2,0.47,0.02,2.63
1.53,0.82,0.04,2.63
1.07,1.06,0.24,2.62
2.31,0.14,0.01,2.62
0.63,0.84,0.96,2.61
1.02,0.52,0.92,2.6
1.04,1.24,0.03,2.58
0.28,1.68,0.33,2.57
1.21,0.57,0.7,2.54
1.55,0.75,0.16,2.52
2.29,0.02,0,2.5
1.28,0.14,1.08,2.5
1.84,0.56,0,2.49
1.72,0.44,0.05,2.48
2.1,0.2,0,2.47
1.13,0.36,0.92,2.47
1.55,0.54,0.05,2.45
1.44,0.73,0.04,2.44
1.56,0.61,0.02,2.42
1.27,0.32,0.78,2.42
1.43,0.76,0,2.41
0.77,0.18,1.42,2.4
1.73,0.46,0.02,2.38
1.46,0.54,0.01,2.38
1.25,0.86,0.01,2.37
1.38,0.74,0.02,2.36
0.69,0.14,1.48,2.36
1.39,0.48,0.4,2.35
1.68,0.46,0.01,2.35
1.32,0.83,0,2.34
1.2,0.9,0,2.34
1.14,0.54,0.47,2.32
1.93,0.14,0,2.32
1.57,0.56,0,2.32
0.78,0.4,1.06,2.32
0.79,1.35,0.04,2.32
0.52,0.45,1.21,2.31
0.95,0.54,0.62,2.3
1.11,0.98,0,2.28
0.51,0.12,1.63,2.28
1.05,0.77,0.1,2.28
1.12,0.39,0.64,2.27
1.22,0.1,0.91,2.27
0.9,0.73,0.54,2.26
1.4,0.54,0.02,2.26
1.19,0.84,0,2.26
0.28,0.79,0.87,2.25
1.48,0.25,0.46,2.25
0.67,0.41,1.05,2.25
1.42,0.61,0,2.23
1.27,0.62,0.18,2.22
0.88,1.03,0,2.22
1,0.63,0.45,2.22
1.45,0.55,0.02,2.21
1.47,0.55,0,2.21
2.01,0.02,0,2.2
1.11,0.51,0.34,2.2
1.68,0.44,0,2.19
0.87,0.17,1.1,2.19
1.04,0.72,0.3,2.19
1.21,0.78,0.01,2.18
1.29,0.04,0.73,2.18
1.48,0.17,0.47,2.17
1.6,0.46,0.08,2.17
0.48,0.11,1.56,2.17
1.51,0.47,0,2.16
0.54,1.16,0.13,2.15
0.14,0.03,1.98,2.15
0.52,1.03,0,2.14
0.66,0,1.45,2.14
0.01,0,2.13,2.14
1.47,0.38,0.19,2.14
0.64,0.07,1.35,2.13
0.59,1.16,0.06,2.13
1.47,0.09,0.45,2.12
1.37,0.61,0.05,2.12
0.83,0.33,0.92,2.12
1.61,0.27,0.05,2.11
1.2,0.62,0,2.11
1.68,0.4,0,2.11
0.9,0.45,0.63,2.11
1.54,0.44,0.04,2.1
1.84,0.12,0.01,2.09
1.77,0.32,0,2.08
0.97,0.33,0.73,2.08
0.59,0.99,0.13,2.08
0.89,1.08,0,2.08
1.54,0.46,0,2.07
1.2,0.63,0.04,2.06
0.71,0.52,0.74,2.06
0.89,0.57,0.46,2.06
1.23,0.64,0,2.05
1.43,0.33,0.04,2.05
1.16,0.06,0.83,2.05
0.71,0.83,0.15,2.05
0.48,1.29,0.02,2.05
1.45,0.42,0.01,2.04
0.73,1.09,0,2.04
0.71,1.02,0,2.04
1.2,0.48,0.29,2.04
1.25,0.61,0.13,2.03
1.47,0.4,0,2.03
1.81,0.05,0.01,2.02
0.82,0.98,0.04,2.02
1.2,0.62,0,2.01
0.89,0.45,0.53,2
0.52,0.16,1.29,2
0.95,0.64,0.27,1.99
0.75,0.3,0.9,1.99
0.93,0.27,0.75,1.98
1.2,0.59,0,1.97
1.22,0.57,0.02,1.96
1.13,0.37,0.41,1.96
0.18,0.23,1.53,1.96
0.79,0.03,1.05,1.96
1.09,0.65,0.02,1.96
1.3,0.49,0,1.95
1.26,0.61,0,1.95
0.96,0.38,0.55,1.94
1.42,0.4,0,1.94
1,0.72,0,1.93
1.1,0.56,0,1.93
1.06,0.6,0.2,1.93
0.56,0.89,0.1,1.93
1.51,0,0.29,1.93
0.92,0.53,0.41,1.92
0.72,0.16,1.01,1.91
0.77,0.78,0.04,1.91
0.59,0.92,0.06,1.9
0.21,0.3,1.33,1.89
0.96,0.53,0.3,1.87
0.73,0.62,0.4,1.87
0.87,0.52,0.41,1.86
1.12,0.69,0.03,1.86
0.85,0.71,0.13,1.86
0.61,0.59,0.55,1.85
0.83,0.82,0,1.85
0.8,0.19,0.83,1.85
0.83,0.06,0.93,1.83
0.84,0.76,0,1.83
0.61,0.34,0.79,1.82
0.91,0.74,0.07,1.82
0.22,0.21,1.35,1.81
1,0.03,0,1.8
1.41,0.21,0.03,1.8
0.49,0.96,0.07,1.79
1.05,0.57,0.03,1.78
1.25,0.29,0,1.78
0.32,0.95,0.36,1.78
0.93,0.57,0.14,1.77
0.31,0.54,0.84,1.77
0.63,0.06,1.03,1.77
1.19,0.29,0.24,1.77
0.85,0.31,0.56,1.76
0.93,0.38,0.4,1.76
0.53,0.12,1.09,1.76
1.23,0.46,0,1.76
0.86,0.67,0,1.76
0.72,0.69,0.04,1.76
1.11,0.48,0,1.76
0.61,0.87,0.02,1.76
1.24,0.45,0,1.75
1,0.54,0.03,1.75
0.7,0.13,0.91,1.75
0.79,0.14,0.8,1.75
0.69,0.89,0.03,1.74
1.69,0.04,0,1.74
0.49,0.88,0.06,1.74
0.67,0.66,0.12,1.73
0.64,0.68,0.14,1.73
0.85,0.66,0,1.72
0.61,0.18,0,1.72
0.7,0.83,0,1.72
0.41,0.98,0,1.72
0.8,0.21,0.55,1.72
0.99,0.64,0,1.71
0.88,0.34,0.32,1.71
0,0,1.71,1.71
0.34,1.08,0.03,1.7
0.49,1.12,0,1.7
0.62,0.21,0.79,1.7
1.36,0.18,0,1.69
0.98,0.52,0,1.69
0.8,0.52,0.07,1.69
0.59,0.24,0.82,1.68
1.18,0.27,0.17,1.68
0.94,0.57,0,1.67
0.43,0.67,0.42,1.67
1.22,0.39,0,1.67
1.09,0.49,0.02,1.67
0.82,0.65,0,1.67
0.97,0.59,0.04,1.67
0.86,0.64,0.01,1.66
0.9,0.11,0.6,1.65
1.06,0.38,0.15,1.65
0.8,0.05,0.76,1.64
0.54,0.88,0,1.64
1.02,0.48,0,1.64
0.44,0.89,0.05,1.64
0.45,0.96,0.02,1.63
0.78,0.25,0.56,1.63
0.58,0.81,0,1.63
1.33,0.14,0,1.63
0.8,0.63,0.01,1.62
0.99,0.04,0.49,1.62
1.01,0.11,0.45,1.62
0.8,0.38,0.3,1.61
0.92,0.53,0.03,1.61
0.66,0.27,0.65,1.61
0.98,0.38,0.2,1.61
0.79,0.68,0.01,1.61
0.4,0.99,0,1.6
1.3,0.23,0,1.6
0.71,0.69,0.02,1.6
1.49,0.09,0,1.6
0.01,1.58,0,1.59
1.15,0.36,0.04,1.59
0.92,0.44,0.07,1.59
0.87,0.56,0,1.58
0.85,0.58,0,1.58
0.94,0.49,0,1.58
0.58,0.44,0.44,1.58
0.95,0.11,0.46,1.57
0.77,0.6,0,1.56
0.59,0.14,0.81,1.56
0.68,0.38,0.44,1.56
0.84,0.56,0,1.55
0.91,0.57,0,1.55
0.85,0.47,0.02,1.55
0.57,0.87,0.02,1.55
0.9,0.53,0,1.55
0.69,0.5,0.24,1.55
1.06,0.35,0.01,1.54
0.71,0.22,0.52,1.54
0.58,0.87,0,1.54
1.4,0.02,0.02,1.54
0.63,0.69,0,1.53
0.95,0.43,0,1.53
1.09,0.15,0.25,1.53
0.73,0.52,0.15,1.52
0,0,1.52,1.52
0.5,0.72,0.04,1.52
0.6,0.63,0.03,1.52
0.46,0.1,0.92,1.5
0.72,0.38,0.36,1.49
0.82,0.36,0.25,1.49
0.82,0.52,0.01,1.49
0.37,0.69,0.28,1.48
0.28,0.5,0.65,1.48
0.7,0.35,0.39,1.48
0.72,0.56,0,1.48
0.82,0.59,0,1.48
0.39,0.92,0,1.47
0.58,0.55,0.06,1.47
0.72,0.41,0.14,1.47
0.62,0.18,0.65,1.47
0.93,0.4,0.02,1.46
0.93,0.24,0.25,1.46
0.51,0.75,0.07,1.46
0.89,0.44,0,1.45
0.75,0.49,0.01,1.45
0.71,0.55,0,1.45
0,1.13,0,1.45
0,0,1.45,1.45
1.38,0.05,0,1.45
0.37,0.9,0,1.45
0.26,0.07,1.09,1.44
0.33,0.79,0.08,1.44
0.92,0.4,0,1.44
1.23,0.07,0.02,1.44
0.91,0.39,0,1.43
0,0,1.39,1.43
0.7,0.54,0,1.42
0.89,0.22,0.22,1.42
0.57,0.12,0.71,1.42
0,0.21,1.18,1.42
0.87,0.31,0.13,1.41
0.82,0.47,0,1.4
1.07,0.28,0,1.4
0.43,0.7,0.01,1.4
1.27,0.02,0,1.39
0.96,0.37,0,1.38
0.58,0.18,0.59,1.38
0.5,0.32,0.49,1.38
0.77,0.54,0,1.38
0.46,0.62,0.06,1.37
0.76,0.52,0,1.37
0.5,0.78,0.01,1.37
0.99,0.33,0,1.37
0,0,1.37,1.37
0.86,0.27,0.02,1.36
0.86,0.45,0,1.36
0.47,0.51,0.28,1.36
0.82,0.42,0,1.36
0.59,0.57,0.05,1.35
0.66,0.51,0.05,1.35
0.66,0.45,0.04,1.35
0.77,0.07,0.43,1.34
0.85,0.43,0,1.34
0.84,0.22,0.24,1.34
0.65,0.51,0,1.34
0.79,0.42,0,1.33
0.86,0.36,0,1.33
0.89,0.31,0.01,1.33
0.92,0.35,0.01,1.33
0.9,0.38,0.01,1.33
0.87,0.35,0.07,1.33
0.71,0.48,0,1.33
0.51,0.17,0.58,1.33
0.01,0.13,0,1.32
0.73,0.16,0.4,1.32
0.75,0.45,0,1.32
0.84,0.35,0,1.31
0.78,0.45,0,1.31
1.22,0.07,0,1.31
1.11,0.04,0.06,1.31
0.61,0.47,0.11,1.29
0.73,0.44,0,1.29
1.04,0.14,0,1.29
0.76,0.4,0,1.29
1.22,0.05,0,1.29
0.72,0.45,0.01,1.28
0.55,0.59,0,1.28
0,0,1.28,1.28
0.61,0.56,0,1.28
0.63,0.49,0,1.28
0.48,0.35,0.36,1.28
0.44,0.3,0.47,1.27
1,0.16,0,1.27
0.85,0.37,0,1.27
0.68,0.16,0.41,1.27
0.39,0.73,0,1.27
0.56,0.57,0,1.26
0.61,0.42,0.13,1.26
0.47,0.53,0.03,1.25
0.71,0.19,0.31,1.25
0.52,0.56,0,1.25
1.12,0.03,0,1.24
1.1,0.04,0,1.24
0.65,0.41,0,1.24
0.43,0.48,0.05,1.24
0.56,0.22,0.43,1.24
0.82,0.38,0,1.24
0.92,0.2,0.07,1.23
1,0.14,0,1.23
0.29,0.17,0.75,1.23
0.68,0.47,0,1.23
0.79,0.27,0.12,1.23
0.4,0.11,0.7,1.23
0.58,0.16,0.46,1.22
0.76,0.3,0.12,1.22
0.79,0.31,0.08,1.22
0.61,0.27,0.27,1.22
0.98,0.19,0,1.22
0.93,0.24,0,1.21
0.78,0.4,0,1.21
0.66,0.43,0,1.21
0.48,0.13,0.56,1.2
0.52,0.59,0,1.2
0.41,0.6,0,1.2
0.4,0.39,0.36,1.2
0.74,0.03,0.36,1.2
0.55,0.17,0.42,1.2
0.49,0.49,0,1.19
0.56,0.36,0.19,1.19
1.02,0.13,0.04,1.19
0.99,0.16,0,1.19
0.86,0.27,0.01,1.19
0.64,0.24,0.29,1.19
0.83,0.14,0,1.19
0.46,0.31,0.33,1.19
0.9,0.2,0,1.19
0.5,0.18,0.44,1.18
0.85,0.31,0,1.18
0.7,0.37,0,1.17
0.98,0.04,0,1.17
0.6,0.31,0.15,1.17
0.82,0.23,0,1.17
0.68,0.25,0.21,1.17
0.43,0.52,0.02,1.16
0.97,0.04,0,1.16
0.57,0.44,0,1.16
0.78,0.28,0.07,1.16
0.52,0.38,0.09,1.16
1.07,0.07,0,1.15
0.44,0.46,0.06,1.15
0,1.12,0,1.15
0.51,0.2,0.41,1.15
0.5,0.16,0.46,1.15
0.47,0.26,0.35,1.14
0.64,0.43,0,1.14
0.44,0.34,0.25,1.14
0.26,0.75,0,1.14
0.46,0.17,0.48,1.14
0.58,0.37,0.15,1.14
0,0.51,0,1.14
0.65,0.37,0,1.14
1.01,0.1,0,1.13
0.33,0.37,0.37,1.13
0.99,0.12,0,1.13
0.38,0.56,0,1.13
0.23,0.05,0.84,1.13
0.64,0.39,0,1.13
0.81,0.3,0,1.13
0.55,0.43,0,1.12
0.56,0.24,0.3,1.12
0.63,0.37,0.02,1.12
0.84,0.2,0.01,1.12
0.66,0.4,0,1.12
0.41,0.06,0.63,1.12
0.28,0.3,0,1.12
0.82,0.26,0,1.12
0.85,0.23,0,1.11
0.63,0.37,0,1.11
0.62,0.4,0,1.11
0.68,0.38,0,1.11
0.33,0.07,0.7,1.11
0.45,0.31,0.29,1.11
0.52,0.35,0,1.11
0.53,0.4,0,1.1
1.03,0.06,0,1.1
0.52,0.33,0.17,1.1
0.47,0.52,0,1.1
0.45,0.33,0.29,1.1
0.51,0.12,0.45,1.1
0.54,0.21,0.31,1.1
0.54,0.33,0.01,1.1
0.63,0.36,0,1.09
