US_Sales,EU_Sales,Asia_Sales,Global_Sales
0.35,0.52,0,1.09
0.44,0.47,0.09,1.09
0.47,0.41,0.03,1.08
0.36,0.64,0,1.08
0.28,0.5,0.03,1.08
0.64,0.34,0,1.08
0.47,0.4,0.13,1.08
0.77,0.29,0,1.08
0.68,0.18,0.19,1.08
0.89,0.03,0,1.07
0.65,0.32,0,1.07
0.57,0.39,0.02,1.07
0.53,0.4,0.03,1.07
0.72,0.06,0.21,1.07
0.43,0.44,0,1.07
0.96,0.02,0.01,1.06
0.44,0.44,0,1.06
0.56,0.4,0,1.06
0.97,0.01,0,1.06
0.76,0.28,0,1.06
0.58,0.38,0,1.05
0.42,0.54,0,1.05
0.27,0.66,0,1.05
0.45,0.49,0,1.05
0.52,0.51,0,1.05
0.58,0.06,0.37,1.05
0.44,0.12,0.45,1.04
0.39,0.16,0.37,1.04
0.62,0.33,0,1.04
0.52,0.06,0.41,1.04
0.68,0.27,0,1.04
0.34,0.48,0.02,1.04
0.33,0.51,0.01,1.03
0.68,0.31,0,1.03
0.87,0.05,0.02,1.02
0.53,0.36,0.05,1.02
0.73,0.26,0.01,1.02
0.51,0.4,0,1.02
0.34,0.28,0.1,1.01
0.54,0.35,0.02,1.01
0.48,0.44,0,1.01
0.21,0.61,0,1.01
0.65,0.15,0.19,1
0.41,0.1,0.47,1
0.63,0.25,0.09,1
0.49,0.33,0.02,1
0.25,0.49,0.04,1
0.51,0.27,0.05,1
0.17,0.78,0,1
0.74,0.21,0,0.99
0.57,0.34,0.01,0.99
0.6,0.3,0,0.99
0.52,0.28,0,0.99
0.73,0.15,0,0.99
0.21,0.62,0,0.98
0.49,0.26,0.16,0.98
0.72,0.19,0,0.98
0.5,0.19,0.28,0.98
0.62,0.13,0.21,0.98
0.42,0.38,0,0.98
0.24,0.54,0.01,0.98
0.45,0.44,0,0.98
0,0.92,0,0.98
0.34,0.41,0.06,0.98
0.88,0.02,0,0.97
0.49,0.18,0.29,0.97
0.53,0.35,0,0.97
0.78,0.03,0.03,0.97
0.77,0.1,0,0.97
0.3,0.54,0,0.96
0.41,0.33,0.09,0.96
0.4,0.36,0.13,0.96
0.36,0.45,0,0.95
0.57,0.3,0,0.95
0.39,0.4,0,0.95
0.41,0.43,0,0.95
0.35,0.41,0.05,0.95
0.7,0.17,0,0.95
0.24,0.43,0.18,0.95
0.48,0.27,0.13,0.94
0.69,0.17,0,0.94
0.28,0.53,0,0.94
0.26,0.29,0.33,0.94
0.48,0.3,0.08,0.94
0.75,0.03,0.04,0.94
0.57,0.33,0,0.94
0.78,0.09,0,0.93
0.59,0.3,0,0.93
0.42,0.41,0,0.93
0.71,0.2,0,0.93
0.54,0.31,0,0.93
0.44,0.34,0,0.93
0.52,0.35,0,0.93
0.3,0.33,0.21,0.92
0.87,0,0,0.92
0.5,0.32,0,0.92
0.39,0.09,0.43,0.92
0.01,0.83,0,0.92
0.16,0.2,0.53,0.92
0.45,0.27,0.11,0.92
0.45,0.35,0,0.91
0.32,0.43,0,0.91
0.58,0.24,0.01,0.91
0.47,0.3,0,0.91
0.46,0.38,0,0.91
0.68,0.15,0,0.91
0.57,0.26,0,0.91
0.42,0.34,0,0.91
0.74,0.03,0.01,0.9
0.84,0,0,0.9
0.62,0.24,0,0.9
0.62,0.24,0,0.89
0.35,0.38,0.01,0.89
0.46,0.17,0.24,0.89
0.42,0.16,0.3,0.89
0,0,0.89,0.89
0.36,0.43,0,0.89
0.81,0,0.01,0.89
0.01,0.79,0,0.89
0.39,0.24,0.21,0.89
0.6,0.21,0,0.89
0.01,0.79,0,0.88
0.62,0.2,0,0.88
0.43,0.34,0,0.88
0.47,0.22,0.12,0.88
0.65,0.19,0,0.87
0.7,0.11,0,0.87
0.71,0.11,0,0.87
0.61,0.24,0,0.87
0.72,0.03,0,0.87
0.47,0.31,0,0.87
0.47,0.32,0,0.87
0.61,0,0.2,0.86
0.35,0.43,0,0.85
0.79,0,0,0.85
0.46,0.32,0,0.85
0.74,0.04,0,0.85
0.36,0.35,0,0.85
0.52,0.25,0,0.85
0.26,0.1,0.44,0.85
0.65,0.17,0,0.84
0.56,0.11,0.13,0.84
0.75,0.01,0.01,0.84
0.36,0.28,0.14,0.84
0.46,0.3,0,0.84
0.52,0.25,0,0.84
0.36,0.32,0.03,0.84
0.6,0.22,0,0.84
0.38,0.37,0,0.83
0.43,0.21,0.01,0.83
0.62,0.18,0.01,0.83
0.57,0.2,0,0.83
0.77,0,0,0.83
0.58,0.17,0,0.83
0.31,0.37,0,0.83
0.46,0.21,0,0.82
0.64,0.17,0,0.82
0.69,0.03,0,0.82
0.64,0.12,0,0.82
0.42,0.1,0.28,0.82
0.61,0.19,0,0.82
0.69,0.11,0,0.82
0.33,0.35,0,0.82
0.4,0.33,0,0.82
0.48,0.26,0,0.82
0.63,0.16,0,0.81
0.32,0.35,0,0.81
0.4,0.31,0,0.81
0,0,0.81,0.81
0.52,0.21,0,0.81
0.19,0.5,0,0.8
0.48,0.25,0,0.8
0.33,0.35,0,0.8
0.44,0.19,0.03,0.8
0.48,0.28,0,0.8
0.73,0.01,0,0.8
0.51,0.22,0,0.8
0.39,0.22,0.13,0.8
0,0,0.8,0.8
0.38,0.34,0,0.79
0.61,0,0,0.79
0.61,0.16,0,0.79
0.44,0.3,0,0.79
0.28,0.22,0.23,0.79
0.75,0.03,0,0.79
0.38,0.3,0.03,0.79
0.49,0.19,0.01,0.79
0.22,0.32,0.17,0.79
0.27,0.2,0.27,0.79
0,0.48,0.25,0.78
0.67,0.05,0.01,0.78
0.12,0.56,0,0.78
0.58,0.04,0.11,0.78
0.41,0.3,0,0.78
0.29,0.3,0.12,0.78
0.65,0.02,0,0.78
0.32,0.36,0,0.78
0.34,0.35,0,0.78
0.47,0.23,0,0.77
0.66,0.02,0.03,0.77
0.33,0.31,0,0.77
0.72,0.04,0,0.77
0.21,0.14,0.38,0.77
0.45,0.17,0.14,0.77
0.22,0.47,0,0.76
0.59,0.16,0,0.76
0.14,0.48,0,0.76
0.57,0.02,0.07,0.76
0.28,0.39,0,0.76
0.47,0.21,0.01,0.75
0.41,0.24,0,0.75
0.17,0.39,0,0.75
0.47,0.19,0,0.75
0.36,0.28,0,0.75
0.37,0.29,0,0.75
0.43,0.26,0,0.75
0.48,0.24,0,0.75
0.31,0.32,0,0.75
0.42,0.26,0,0.75
0.4,0.28,0,0.75
0.46,0.22,0.01,0.75
0.49,0.16,0,0.75
0,0,0.74,0.74
0.42,0.19,0,0.74
0.16,0.3,0.25,0.74
0.22,0.37,0.02,0.74
0.61,0.1,0,0.74
0.36,0.3,0,0.74
0.31,0.11,0.3,0.74
0.4,0.15,0.17,0.73
0.23,0.41,0,0.73
0,0,0.73,0.73
0.37,0,0.32,0.73
0,0,0.73,0.73
0.67,0.01,0,0.73
0,0,0.73,0.73
0.33,0.32,0,0.73
0.34,0.31,0,0.73
0.16,0.02,0.53,0.72
0.26,0.36,0,0.72
0.35,0.3,0,0.72
0.52,0.19,0,0.72
0.6,0.02,0,0.72
0.4,0.27,0,0.72
0.18,0.38,0.02,0.72
0.25,0.39,0,0.72
0.26,0.19,0.22,0.72
0.17,0.4,0,0.71
0.49,0.2,0,0.71
0,0,0.71,0.71
0.39,0.09,0.17,0.71
0.2,0.05,0.44,0.71
0.53,0.15,0,0.71
0.35,0.21,0,0.71
0.54,0.14,0,0.7
0.52,0.16,0,0.7
0.54,0.1,0,0.7
0.48,0.19,0,0.7
0.28,0.3,0,0.7
0.39,0.25,0,0.7
0.19,0.36,0.01,0.7
0.5,0.19,0,0.7
0.38,0.26,0,0.7
0.37,0.14,0.17,0.7
0,0,0.7,0.7
0.38,0.26,0,0.69
0.42,0.21,0,0.69
0.54,0.1,0,0.69
0.54,0.13,0,0.69
0.25,0.33,0,0.69
0.24,0.33,0,0.69
0.5,0.18,0,0.69
0.22,0.38,0,0.69
0.01,0.61,0.02,0.69
0.49,0.18,0,0.68
0.34,0,0.33,0.68
0.6,0.03,0,0.68
0.32,0.13,0.18,0.68
0.26,0.29,0.02,0.68
0.26,0.33,0.03,0.68
0.57,0.02,0,0.68
0.32,0,0.34,0.68
0.55,0.04,0.04,0.68
0.13,0.52,0,0.67
0.49,0.16,0,0.67
0.2,0.34,0,0.67
0.35,0.22,0,0.67
0.48,0.17,0,0.67
0,0.66,0,0.67
0.28,0.3,0,0.67
0.23,0.33,0,0.67
0.18,0.41,0,0.67
0.3,0.29,0.01,0.67
0,0.58,0,0.67
0.25,0.26,0.05,0.67
0.37,0.25,0,0.66
0.31,0.24,0.01,0.66
0.55,0.02,0,0.66
0.52,0.13,0,0.66
0.14,0.38,0,0.66
0.35,0.24,0,0.66
0.28,0.02,0.33,0.66
0.62,0.04,0,0.66
0.29,0.14,0.19,0.66
0.49,0.14,0,0.66
0.23,0.27,0,0.66
0.33,0.25,0,0.66
0.24,0,0,0.65
0.32,0.22,0.01,0.65
0.41,0.11,0.12,0.65
0.25,0.09,0.3,0.65
0.32,0.25,0,0.65
0.47,0.17,0,0.65
0.31,0.03,0.27,0.65
0.6,0.04,0,0.65
0.39,0.2,0,0.65
0.35,0.24,0,0.64
0.47,0.15,0,0.64
0.54,0.04,0,0.64
0.36,0.23,0,0.64
0.23,0.35,0,0.64
0.31,0.24,0,0.64
0.4,0.22,0,0.64
0.25,0.28,0,0.64
0.59,0.04,0,0.64
0.46,0.12,0,0.64
0.2,0.26,0.11,0.64
0.31,0.24,0,0.64
0.59,0,0,0.64
0.36,0.21,0.01,0.63
0.53,0.02,0,0.63
0.41,0.16,0,0.63
0.41,0.19,0,0.63
0.3,0.23,0.01,0.63
0.45,0.17,0,0.63
0.28,0.24,0,0.63
0.49,0.13,0,0.63
0.49,0.09,0,0.63
0.38,0.2,0,0.63
0.58,0,0,0.63
0.33,0.21,0,0.63
0.54,0.05,0,0.63
0.43,0.05,0,0.63
0.34,0.23,0,0.63
0.44,0.13,0,0.63
0.24,0.34,0,0.63
0.31,0.25,0,0.63
0.35,0.24,0,0.63
0.4,0.2,0,0.62
0.3,0.26,0,0.62
0.16,0.13,0.29,0.62
0.15,0.42,0,0.62
0.36,0.2,0,0.62
0.58,0,0,0.62
0,0,0.62,0.62
0.34,0.17,0,0.62
0.56,0,0,0.61
0.46,0.13,0,0.61
0.35,0.21,0,0.61
0.46,0.1,0,0.61
0.33,0.23,0,0.61
0.58,0,0,0.61
0,0,0.61,0.61
0.24,0.17,0.14,0.61
0.56,0,0,0.61
0.27,0.1,0.22,0.61
0.33,0.21,0,0.61
0.43,0.16,0,0.61
0.51,0.05,0,0.61
0.43,0.16,0,0.61
0.31,0.24,0,0.61
0.3,0.24,0,0.61
0.11,0.14,0.33,0.6
0.43,0.16,0,0.6
0.4,0.1,0.09,0.6
0.5,0.02,0,0.6
0.18,0.19,0.2,0.6
0.38,0.15,0,0.6
0.29,0.23,0,0.6
0.22,0.24,0,0.6
0.37,0.08,0.14,0.6
0.4,0.15,0,0.6
0.49,0.03,0.03,0.6
0.24,0.25,0,0.6
0.25,0.28,0,0.6
0.38,0.16,0,0.6
0.31,0.22,0,0.6
0.26,0,0.31,0.6
0.13,0.35,0,0.59
0.15,0.34,0,0.59
0.21,0.24,0,0.59
0.24,0.28,0,0.59
0.53,0.02,0,0.59
0.52,0.03,0,0.59
0.36,0.08,0.14,0.59
0.18,0.34,0,0.59
0.34,0.13,0.11,0.59
0,0,0.59,0.59
0.15,0.37,0,0.58
0.53,0.01,0,0.58
0.28,0.25,0,0.58
0.53,0.02,0,0.58
0.3,0.22,0.02,0.58
0.23,0.29,0,0.58
0.31,0.22,0,0.58
0.31,0.19,0.02,0.58
0.37,0.15,0,0.58
0.33,0.22,0,0.58
0.42,0.15,0,0.58
0.53,0,0,0.58
0.53,0,0,0.58
0.21,0.27,0,0.58
0,0,0.58,0.58
0.32,0.22,0,0.58
0.45,0.12,0,0.58
0.1,0.41,0.01,0.58
0.52,0.02,0,0.58
0.34,0.17,0.02,0.58
0.08,0.37,0,0.57
0.49,0.04,0,0.57
0.32,0.24,0,0.57
0.41,0.15,0,0.57
0.01,0.45,0,0.57
0.52,0.01,0,0.57
0.51,0.02,0,0.57
0,0,0.57,0.57
0.43,0.12,0,0.57
0.32,0.2,0,0.57
0.5,0.03,0,0.57
0.42,0.11,0.02,0.57
0.19,0.25,0.04,0.57
0.39,0.16,0,0.57
0.28,0.22,0,0.57
0.09,0.4,0,0.57
0.21,0.22,0.05,0.57
0.44,0.11,0,0.56
0.26,0.04,0.24,0.56
0.31,0.11,0.13,0.56
0.41,0.08,0,0.56
0.28,0.21,0,0.56
0.27,0.05,0.22,0.56
0.28,0.21,0,0.56
0.28,0.22,0,0.56
0.41,0.11,0,0.56
0.49,0.02,0,0.56
0.27,0.21,0,0.56
0.26,0.14,0.12,0.56
0.15,0.35,0,0.56
0,0,0.56,0.56
0.39,0.15,0,0.56
0.32,0.18,0,0.56
0.49,0.02,0,0.56
0.52,0.02,0,0.56
0,0,0.56,0.56
0.28,0.23,0,0.56
0.48,0.04,0,0.56
0.5,0.02,0,0.56
0.51,0,0,0.56
0.41,0.11,0,0.55
0.35,0.13,0,0.55
0,0,0.55,0.55
0.52,0.03,0,0.55
0.27,0.21,0,0.55
0.47,0.04,0,0.55
0.17,0.33,0,0.55
0.5,0.01,0,0.55
0.51,0,0,0.55
0.34,0.18,0,0.55
0.2,0.25,0.02,0.55
0.4,0.13,0,0.55
0.49,0.02,0,0.55
0.4,0.12,0,0.55
0.4,0.03,0.08,0.54
0.25,0.2,0,0.54
0,0.14,0.38,0.54
0.29,0.21,0,0.54
0.25,0.23,0,0.54
0.29,0.08,0.16,0.54
0.24,0.23,0,0.54
0.32,0.17,0,0.54
0.46,0.06,0,0.54
0.39,0.01,0.1,0.54
0,0.05,0.48,0.54
0.45,0.02,0,0.54
0.3,0.2,0,0.54
0.34,0.17,0,0.53
0.23,0.14,0.12,0.53
0.43,0.09,0,0.53
0.35,0.1,0,0.53
0.41,0.11,0,0.53
0.26,0.2,0,0.53
0.44,0.02,0,0.53
0.48,0.01,0,0.53
0.28,0.17,0,0.53
0.3,0.03,0.16,0.53
0.35,0.13,0,0.53
0.49,0.03,0,0.53
0.26,0.2,0,0.53
0.24,0.09,0.19,0.52
0.46,0.01,0.02,0.52
0.09,0.37,0,0.52
0.45,0.04,0,0.52
0.17,0.29,0,0.52
0.21,0.21,0,0.52
0.38,0.12,0,0.52
0,0,0.52,0.52
0.37,0.14,0,0.52
0.48,0,0,0.52
0.46,0.02,0,0.51
0.48,0.03,0,0.51
0.17,0.25,0,0.51
0.35,0.12,0,0.51
0.18,0.29,0,0.51
0.25,0.21,0,0.51
0,0,0.51,0.51
0.28,0.03,0.17,0.51
0,0,0.51,0.51
0.47,0,0,0.51
0.33,0.13,0,0.51
0.24,0.19,0,0.51
0.19,0.23,0,0.51
0.18,0.22,0.02,0.51
0.17,0.02,0.3,0.51
0.27,0.19,0.01,0.51
0.47,0.01,0,0.51
0.25,0.19,0,0.51
0.47,0.03,0,0.51
0.29,0.17,0,0.51
0.42,0.06,0,0.5
0.47,0.03,0,0.5
0.25,0.19,0,0.5
0.27,0.19,0,0.5
0.24,0.19,0,0.5
0.13,0.05,0.31,0.5
0.27,0.04,0.17,0.5
0.41,0.02,0.03,0.5
0.47,0,0,0.5
0.46,0,0,0.5
0.29,0.16,0,0.5
0.38,0.1,0,0.5
0.24,0.19,0,0.5
0.36,0.13,0,0.5
0.41,0.01,0,0.5
0.44,0.02,0,0.49
0.35,0.13,0,0.49
0.46,0.03,0,0.49
0,0,0.49,0.49
0.24,0.2,0,0.49
0.18,0.12,0.16,0.49
0.42,0.02,0.02,0.49
0.25,0.01,0,0.49
0.08,0.35,0,0.49
0.27,0.16,0.02,0.49
0.31,0.1,0.05,0.49
0.01,0.45,0,0.49
0.44,0.01,0,0.49
0.43,0.02,0,0.48
0,0.48,0,0.48
0.4,0.02,0,0.48
0.16,0.01,0.29,0.48
0.35,0.13,0,0.48
0.15,0.14,0.17,0.48
0.27,0.17,0,0.48
0.2,0.24,0,0.48
0.27,0.18,0,0.48
0.44,0.01,0,0.48
0.27,0.18,0,0.48
0.25,0.18,0,0.48
0.16,0.25,0.01,0.48
0.45,0,0,0.48
0.38,0.01,0.07,0.48
0.42,0.02,0,0.48
0.25,0.19,0.01,0.48
0.45,0.03,0,0.48
0.15,0.27,0,0.48
0.45,0.02,0,0.47
0.16,0.11,0.18,0.47
0.23,0.18,0,0.47
0.43,0.01,0,0.47
0.23,0.17,0,0.47
0.42,0.01,0,0.47
0,0,0.46,0.47
0.41,0.02,0,0.47
0.41,0.02,0,0.47
0.27,0.06,0.08,0.47
0.44,0.02,0,0.47
0.43,0,0,0.47
0.44,0,0,0.47
0.39,0.01,0,0.47
0.33,0.12,0,0.47
0.36,0.09,0,0.47
0.46,0.01,0,0.47
0.23,0.18,0,0.46
0.25,0.09,0.12,0.46
0.26,0.17,0,0.46
0.33,0.12,0,0.46
0.2,0.03,0.21,0.46
0.38,0.03,0.02,0.46
0.27,0.16,0,0.46
0.38,0.01,0,0.46
0.34,0.09,0,0.46
0.23,0.14,0,0.46
0.04,0.16,0.24,0.46
0.26,0.16,0,0.46
0.38,0.01,0,0.46
0.24,0.18,0,0.46
0.25,0.17,0,0.46
0.24,0.17,0,0.46
0.19,0.23,0,0.46
0,0,0.45,0.46
0.42,0,0,0.46
0.05,0.05,0.34,0.46
0.36,0.08,0,0.46
0.42,0,0,0.45
0.03,0.37,0,0.45
0.39,0.03,0,0.45
0.41,0.01,0,0.45
0.14,0.26,0,0.45
0.4,0.03,0,0.45
0.3,0.11,0,0.45
0.42,0.03,0,0.45
0.34,0.1,0,0.45
0.26,0.13,0,0.45
0.41,0.01,0,0.45
0.25,0.17,0,0.45
0.27,0.14,0,0.45
0.1,0.02,0.32,0.45
0.36,0.08,0,0.45
0.41,0.01,0,0.45
0.41,0,0,0.45
0.21,0.19,0,0.45
0.36,0.05,0,0.45
0.13,0.16,0.13,0.45
0.32,0.12,0,0.45
0.3,0.11,0,0.45
0.22,0.17,0,0.44
0.3,0.12,0,0.44
0.28,0.13,0,0.44
0,0,0.43,0.44
0.28,0.12,0,0.44
0.1,0.29,0,0.44
0.4,0.01,0,0.44
0.36,0.04,0.01,0.44
0.2,0.14,0.06,0.44
0.41,0,0,0.44
0.4,0,0,0.44
0.34,0.09,0,0.44
0.26,0.12,0,0.44
0.34,0.09,0,0.44
0.41,0,0,0.44
0.16,0,0.26,0.44
0.35,0.07,0,0.44
0.26,0.1,0.07,0.43
0.39,0.01,0,0.43
0.17,0,0,0.43
0.24,0.16,0,0.43
0.13,0.21,0.01,0.43
0.22,0.18,0,0.43
0.18,0.09,0.14,0.43
0.4,0.02,0,0.43
0.21,0.19,0,0.43
0.24,0.15,0,0.43
0.25,0.06,0.07,0.43
0.15,0.22,0,0.43
0.39,0.01,0,0.43
0.17,0.01,0.23,0.43
0.02,0.34,0,0.43
0.21,0.18,0,0.43
0.37,0.02,0,0.43
0.39,0,0,0.43
0.24,0.14,0,0.43
0.21,0.16,0,0.43
0.18,0.17,0,0.43
0.21,0.16,0,0.42
0.23,0.15,0,0.42
0.33,0.08,0,0.42
0.15,0.23,0,0.42
0,0,0.41,0.42
0.38,0.01,0,0.42
0.3,0.11,0,0.42
0.3,0.11,0,0.42
0.34,0.07,0,0.42
0.36,0.03,0,0.42
0.21,0.16,0,0.42
0.35,0.03,0,0.42
0.39,0,0,0.42
0.21,0.12,0.03,0.42
0.18,0.17,0.03,0.42
0.39,0,0,0.42
0.19,0.11,0.09,0.42
0.16,0.12,0.11,0.42
0.3,0.11,0,0.41
0.23,0.16,0,0.41
0.01,0.39,0,0.41
0.26,0.13,0,0.41
0.23,0.16,0,0.41
0.16,0.17,0.02,0.41
0.17,0.15,0,0.41
0.2,0.16,0,0.41
0.28,0.1,0,0.41
0.36,0.02,0,0.41
0.1,0.02,0.25,0.41
0.19,0.15,0,0.41
0.14,0.23,0,0.41
0.15,0.06,0,0.41
0.2,0.1,0.08,0.41
0.37,0.01,0,0.41
0.34,0.01,0,0.41
0.34,0.01,0,0.41
0.29,0.09,0,0.41
0.18,0.17,0,0.41
0.23,0.02,0,0.41
0,0,0.41,0.41
0.2,0.16,0,0.41
0.24,0.13,0,0.41
0.26,0.11,0,0.41
0.19,0.18,0,0.41
0.2,0.15,0,0.41
0,0.13,0.26,0.4
0.36,0.01,0,0.4
0.32,0.04,0.01,0.4
0.33,0.01,0,0.4
0.38,0,0,0.4
0.3,0.03,0.04,0.4
0.25,0.07,0.07,0.4
0.29,0.08,0,0.4
0.34,0.03,0,0.4
0.32,0.07,0,0.4
0.2,0.15,0,0.4
0.17,0.17,0,0.4
0,0,0.39,0.4
0.32,0.05,0,0.4
0.19,0.14,0.04,0.4
0.31,0.08,0,0.4
0.31,0.08,0,0.4
0.17,0.15,0,0.39
0.19,0.15,0,0.39
0.26,0.11,0,0.39
0.15,0.18,0,0.39
0.36,0,0,0.39
0.37,0,0,0.39
0,0,0.39,0.39
0.36,0,0,0.39
0.24,0.12,0,0.39
0.37,0.02,0,0.39
0.36,0,0,0.39
0.22,0.15,0,0.39
0.3,0.08,0,0.39
0.18,0.16,0,0.39
0.19,0.17,0,0.39
0.34,0.02,0,0.39
0.25,0.06,0.05,0.39
0,0.32,0,0.39
0,0,0.34,0.39
0.23,0.06,0.09,0.39
0,0.32,0,0.39
0.36,0,0,0.39
0.16,0.13,0.06,0.39
0.23,0.12,0,0.39
0.22,0.14,0,0.39
0.19,0.15,0,0.39
0.33,0.02,0,0.39
0.34,0.02,0,0.39
0.19,0.15,0,0.39
0.35,0.01,0,0.39
0.29,0.08,0,0.39
0.2,0.15,0,0.39
0.38,0,0,0.38
0,0,0.38,0.38
0,0,0.38,0.38
0.24,0.11,0,0.38
0.22,0.12,0,0.38
0.27,0.1,0,0.38
0.11,0.23,0,0.38
0.15,0.2,0,0.38
0.31,0.03,0,0.38
0.3,0.04,0,0.38
0.19,0.15,0,0.38
0.34,0.02,0,0.38
0.13,0.2,0,0.38
0.24,0.06,0.07,0.38
0.19,0.13,0,0.38
0.12,0,0,0.38
0.32,0.03,0,0.38
0.35,0,0,0.38
0.35,0,0,0.38
0.32,0.03,0,0.38
0.35,0,0,0.37
0.35,0,0,0.37
0.21,0.12,0,0.37
0.29,0.07,0,0.37
